default_mob,closed_mob,probability
3,4,0.334
3,14,0.333
3,17,0.333
4,4,0.122
4,5,0.25
4,7,0.25
4,8,0.063
4,10,0.063
4,12,0.063
4,14,0.063
4,15,0.063
4,19,0.063
5,5,0.10699999999999997
5,6,0.10899999999999997
5,7,0.16399999999999998
5,8,0.16399999999999998
5,9,0.07299999999999998
5,10,0.017999999999999995
5,11,0.054999999999999986
5,12,0.07299999999999998
5,13,0.03599999999999999
5,14,0.054999999999999986
5,15,0.017999999999999995
5,16,0.054999999999999986
5,17,0.054999999999999986
5,19,0.017999999999999995
6,6,0.06
6,7,0.077
6,8,0.154
6,9,0.173
6,10,0.038
6,11,0.077
6,12,0.038
6,14,0.077
6,15,0.019
6,16,0.038
6,17,0.038
6,19,0.038
6,20,0.173
7,7,0.134
7,8,0.133
7,9,0.089
7,10,0.089
7,11,0.022
7,13,0.089
7,14,0.022
7,15,0.089
7,16,0.089
7,17,0.067
7,18,0.111
7,19,0.022
7,20,0.022
7,22,0.022
8,8,0.014
8,9,0.136
8,10,0.136
8,11,0.102
8,12,0.136
8,13,0.034
8,14,0.085
8,15,0.034
8,16,0.068
8,17,0.136
8,18,0.085
8,19,0.034
9,9,0.02
9,10,0.12
9,11,0.18
9,12,0.1
9,13,0.02
9,14,0.12
9,15,0.06
9,16,0.14
9,17,0.16
9,18,0.04
9,19,0.02
9,20,0.02
10,10,0.139
10,11,0.098
10,12,0.137
10,13,0.098
10,14,0.098
10,15,0.078
10,16,0.078
10,17,0.078
10,18,0.059
10,19,0.039
10,20,0.078
10,21,0.02
11,11,0.166
11,12,0.167
11,13,0.083
11,14,0.111
11,15,0.139
11,16,0.167
11,17,0.083
11,18,0.028
11,19,0.028
11,21,0.028
12,12,0.093
12,13,0.233
12,14,0.209
12,15,0.023
12,16,0.093
12,17,0.209
12,18,0.093
12,20,0.047
13,13,0.30700000000000005
13,14,0.15400000000000003
13,16,0.30800000000000005
13,17,0.07700000000000001
13,18,0.07700000000000001
13,22,0.07700000000000001
14,14,0.185
14,15,0.313
14,16,0.125
14,17,0.063
14,18,0.063
14,19,0.125
14,20,0.063
14,21,0.063
15,15,0.454
15,16,0.273
15,18,0.091
15,20,0.182
16,16,0.167
16,17,0.333
16,18,0.167
16,20,0.083
16,21,0.167
16,22,0.083
17,18,0.334
17,21,0.333
17,22,0.333
18,18,0.3999999999999999
18,19,0.19999999999999996
18,20,0.29999999999999993
18,21,0.09999999999999998
19,19,0.5
19,20,0.5
20,20,0.667
20,22,0.333
