rating,default_mob,tenor,interest_rate,loan_amt,lgd,recovery_rate
2,-1,48,33.5,45,-1,1
4,-1,24,40,20,-1,1
7,10,48,26.5,40,1,0
7,17,48,37,30,-1,1
9,-1,24,37,20,-1,1
5,-1,36,40,31,-1,1
6,-1,36,33,52,-1,1
4,10,48,40,45,1,0
4,-1,48,39,62,-1,1
7,7,30,40,20,1,0
4,24,24,38,30,-1,1
6,-1,24,33,35,-1,1
5,8,36,39.5,20,-1,1
3,-1,12,41,15,-1,1
7,5,36,38,50,1,0
5,-1,24,32,20,-1,1
4,-1,36,39,55,-1,1
5,6,48,34.5,90,1,0
2,-1,24,38,20,-1,1
4,-1,24,38,20,-1,1
8,-1,12,36,30,-1,1
9,-1,12,39.5,30,-1,1
9,-1,24,40,20,-1,1
5,-1,48,37,51,-1,1
8,13,36,38,30,1,0
8,-1,12,38,20,-1,1
5,-1,24,31,60,-1,1
6,-1,48,36,50,-1,1
7,-1,36,44,24,-1,1
8,-1,24,40,31,-1,1
4,-1,36,36.5,51,-1,1
5,-1,48,44,20,-1,1
2,-1,12,33,30,-1,1
4,10,48,38,50,1,0
3,21,48,32.5,40,-1,1
7,-1,36,38,50,-1,1
7,-1,36,38,60,-1,1
6,-1,36,29.5,100,-1,1
6,13,24,33.5,30,1,0
6,-1,48,38,50,-1,1
8,-1,24,39,21,-1,1
1,-1,24,18,60,-1,1
7,20,48,37,35,1,0
4,-1,36,29,100,-1,1
6,-1,48,43.5,42,-1,1
2,-1,48,36,61,-1,1
6,-1,12,36,31,-1,1
9,-1,48,38,50,-1,1
3,-1,12,32.5,14,-1,1
7,-1,36,40,50,-1,1
3,-1,48,30,71,-1,1
5,-1,48,31.5,95,-1,1
4,-1,24,40,50,-1,1
8,-1,12,36.5,20,-1,1
6,16,36,38,20,0.8,0.2
10,-1,24,38,15,-1,1
8,3,48,38,70,1,0
4,-1,12,46.5,39,-1,1
4,-1,30,38,50,-1,1
3,-1,48,24.5,60,-1,1
5,-1,12,28,30,-1,1
7,-1,36,38,50,-1,1
3,-1,36,33.5,30,-1,1
6,-1,48,38,50,-1,1
4,-1,12,34,31,-1,1
