,rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate,act_present_val,act_profit,opt_eir,opt_obj,solve_time
0,2,-1,48,0.335,45,-1.0,1.0,72.94614514645498,27.94614514645498,0.3095,4.2201,31.0
1,4,-1,24,0.4,20,-1.0,1.0,27.611413820349064,7.611413820349064,0.3379,1.4153,32.0
2,7,10,48,0.265,40,1.0,0.0,11.939251214989547,-28.060748785010453,0.3679,0.8646,32.0
3,7,17,48,0.37,30,-1.0,1.0,39.18503286776259,9.185032867762587,0.3411,0.601,33.0
4,9,-1,24,0.37,20,-1.0,1.0,26.885341148060974,6.885341148060974,0.3799,-0.2807,32.0
5,5,-1,36,0.4,31,-1.0,1.0,49.024316065393826,18.024316065393826,0.3453,2.1807,32.0
6,6,-1,36,0.33,52,-1.0,1.0,75.39916464655693,23.399164646556926,0.3813,2.629,32.0
7,4,10,48,0.4,45,1.0,0.0,16.610928490713974,-28.389071509286026,0.3336,3.4469,32.0
8,4,-1,48,0.39,62,-1.0,1.0,109.35641570351532,47.356415703515324,0.3383,4.6039,32.0
9,7,7,30,0.4,20,1.0,0.0,6.278697443661876,-13.721302556338124,0.4109,0.8022,31.0
10,4,24,24,0.38,30,-1.0,1.0,40.640246812190085,10.640246812190085,0.3274,2.3865,31.0
11,6,-1,24,0.33,35,-1.0,1.0,45.38299777042098,10.382997770420978,0.3952,1.54,31.0
12,5,8,36,0.395,20,-1.0,1.0,22.433556378307046,2.4335563783070455,0.3436,1.3687,31.0
13,3,-1,12,0.41,15,-1.0,1.0,17.947253863214453,2.9472538632144527,0.3162,1.3145,30.0
14,7,5,36,0.38,50,1.0,0.0,9.27377990839494,-40.72622009160506,0.4232,1.7089,30.0
15,5,-1,24,0.32,20,-1.0,1.0,25.697960201835972,5.697960201835972,0.3591,1.1985,30.0
16,4,-1,36,0.39,55,-1.0,1.0,85.9267167923588,30.926716792358803,0.3336,4.0377,30.0
17,5,6,48,0.345,90,1.0,0.0,17.14335345707174,-72.85664654292826,0.3533,5.9393,30.0
18,2,-1,24,0.38,20,-1.0,1.0,27.12623742888339,7.126237428883389,0.3048,1.8765,30.0
19,4,-1,24,0.38,20,-1.0,1.0,27.12623742888339,7.126237428883389,0.3397,1.412,31.0
20,8,-1,12,0.36,30,-1.0,1.0,35.01786439203183,5.017864392031832,0.4252,0.4085,31.0
21,9,-1,12,0.395,30,-1.0,1.0,35.63032900215458,5.630329002154582,0.4847,0.2571,31.0
22,9,-1,24,0.4,20,-1.0,1.0,27.611413820349064,7.611413820349064,0.4436,0.2653,31.0
23,5,-1,48,0.37,51,-1.0,1.0,87.27346828425557,36.27346828425557,0.3643,2.8874,30.0
24,8,13,36,0.38,30,1.0,0.0,16.365250546614718,-13.634749453385282,0.4655,0.4607,31.0
25,8,-1,12,0.38,20,-1.0,1.0,23.578110196526445,3.5781101965264455,0.468,0.3813,30.0
26,5,-1,24,0.31,60,-1.0,1.0,76.39180454377203,16.391804543772025,0.3582,3.7547,31.0
27,6,-1,48,0.36,50,-1.0,1.0,84.26170928779447,34.261709287794474,0.3766,2.6193,30.0
28,7,-1,36,0.44,24,-1.0,1.0,39.8174022405332,15.817402240533198,0.4246,0.8422,30.0
29,8,-1,24,0.4,31,-1.0,1.0,42.797691421541046,11.797691421541046,0.4474,0.7555,31.0
30,4,-1,36,0.365,51,-1.0,1.0,77.26461827490819,26.264618274908187,0.3326,3.7496,31.0
