rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate,act_present_val,act_profit,Opt_Price,Opt_Obj,Avg_Rating,Solving_Time
10,-1,24,0.38,15,-1.0,1.0,17.0,2.0,0.4647,0.2696,5.72,159.0
9,-1,48,0.38,15,-1.0,1.0,18.0,3.0,0.4821,0.3623,5.66,161.0
1,-1,24,0.31,100,-1.0,1.0,104.0,4.0,0.4741,2.5158,5.71,173.0
6,7,12,0.38,15,-1.0,1.0,15.0,0.0,0.4312,0.2086,5.68,162.0
4,-1,24,0.38,20,-1.0,1.0,22.0,2.0,0.4336,0.5198,5.65,156.0
9,-1,48,0.38,15,-1.0,1.0,18.0,3.0,0.4848,0.0041,5.7,161.0
3,3,36,0.31,50,-1.0,1.0,35.0,-15.0,0.4696,1.7156,5.69,169.0
1,-1,24,0.31,100,-1.0,1.0,104.0,4.0,0.4643,2.5493,5.73,169.0
7,5,36,0.38,50,1.0,0.0,7.0,-43.0,0.4688,1.3723,5.76,162.0
2,-1,30,0.375,51,-1.0,1.0,57.0,6.0,0.4825,1.5462,5.69,167.0
2,-1,30,0.375,51,-1.0,1.0,57.0,6.0,0.467,1.232,5.67,158.0
7,5,36,0.38,50,1.0,0.0,7.0,-43.0,0.4944,0.6917,5.73,157.0
8,3,48,0.38,70,1.0,0.0,3.0,-67.0,0.4897,1.6124,5.7,157.0
4,-1,24,0.38,20,-1.0,1.0,22.0,2.0,0.4336,0.5198,5.63,158.0
5,-1,48,0.4,47,-1.0,1.0,58.0,11.0,0.4579,1.7883,5.72,171.0
9,-1,48,0.38,15,-1.0,1.0,18.0,3.0,0.469,0.0699,5.76,152.0
1,-1,24,0.31,100,-1.0,1.0,104.0,4.0,0.4458,2.3479,5.74,159.0
8,3,48,0.38,70,1.0,0.0,3.0,-67.0,0.493,1.3219,5.72,154.0
7,5,36,0.38,50,1.0,0.0,7.0,-43.0,0.4869,0.6003,5.73,155.0
3,3,36,0.31,50,-1.0,1.0,35.0,-15.0,0.4515,1.6134,5.72,155.0
