index,rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate,act_present_val,act_profit,Opt_Price,Opt_Obj,Avg_Rating,Solving_Time
0,10,-1,24,0.38,15,-1,1,17,2,0.4457,0.5193,5.62,50
1,9,-1,48,0.38,15,-1,1,18,3,0.4689,1.3143,5.63,56
2,1,-1,24,0.31,100,-1,1,104,4,0.4507,5.8691,5.77,62
3,6,7,12,0.38,15,-1,1,16,1,0.2991,0.6034,5.63,50
4,4,-1,24,0.38,20,-1,1,22,2,0.4507,1.1058,5.66,55
5,9,-1,48,0.38,15,-1,1,18,3,0.3388,1.6784,5.65,51
6,3,3,36,0.31,50,-1,1,0,-50,0.4679,3.9088,5.7,65
7,1,-1,24,0.31,100,-1,1,104,4,0.4672,5.5296,5.67,67
8,7,5,36,0.38,50,1,0,2,-48,0.4584,3.8989,5.68,62
9,2,-1,30,0.375,51,-1,1,57,6,0.4929,3.2168,5.68,60
10,2,-1,30,0.375,51,-1,1,57,6,0.4929,3.1528,5.7,66
11,7,5,36,0.38,50,1,0,2,-48,0.4788,3.4372,5.64,64
12,8,3,48,0.38,70,1,0,0,-70,0.4923,4.6174,5.62,68
13,4,-1,24,0.38,20,-1,1,22,2,0.3562,0.9307,5.7,52
14,5,-1,48,0.4,47,-1,1,58,11,0.4629,5.0931,5.66,59
15,9,-1,48,0.38,15,-1,1,18,3,0.3908,1.3869,5.69,50
16,1,-1,24,0.31,100,-1,1,104,4,0.4424,6.0325,5.69,62
17,8,3,48,0.38,70,1,0,0,-70,0.4602,5.3135,5.73,62
18,7,5,36,0.38,50,1,0,2,-48,0.4574,3.704,5.67,64
19,3,3,36,0.31,50,-1,1,0,-50,0.4679,4.0909,5.69,59
