rating,interest_rate,probability
1,0.18,0.0736
1,0.185,0.0104
1,0.19,0.0316
1,0.195,0.0198
1,0.2,0.0313
1,0.205,0.0177
1,0.21,0.0295
1,0.215,0.0153
1,0.22,0.0181
1,0.225,0.025
1,0.23,0.0292
1,0.235,0.0215
1,0.24,0.0299
1,0.245,0.0201
1,0.25,0.0163
1,0.255,0.0174
1,0.26,0.0156
1,0.265,0.0358
1,0.27,0.0201
1,0.275,0.041
1,0.28,0.0174
1,0.285,0.0201
1,0.29,0.0243
1,0.295,0.0111
1,0.3,0.0264
1,0.305,0.0184
1,0.31,0.0295
1,0.315,0.0198
1,0.32,0.0118
1,0.325,0.0257
1,0.33,0.0174
1,0.335,0.0261
1,0.34,0.0118
1,0.345,0.024
1,0.35,0.0167
1,0.355,0.0129
1,0.36,0.0292
1,0.365,0.0174
1,0.37,0.0195
1,0.375,0.0108
1,0.38,0.0389
1,0.385,0.0069
1,0.39,0.0059
1,0.395,0.0056
1,0.4,0.0125
1,0.405,0.0028
1,0.41,0.0031
1,0.415,0.0028
1,0.42,0.0049
1,0.425,0.0014
1,0.43,0.0014
1,0.435,0.0007
1,0.44,0.0007
1,0.445,0.0014
1,0.45,0.0007
1,0.455,0.0003
1,0.46,0.0003
1,0.465,0.0003
2,0.18,0.0239
2,0.185,0.0041
2,0.19,0.0112
2,0.195,0.0048
2,0.2,0.012
2,0.205,0.0092
2,0.21,0.0149
2,0.215,0.0074
2,0.22,0.0072
2,0.225,0.0108
2,0.23,0.0132
2,0.235,0.0085
2,0.24,0.0188
2,0.245,0.0111
2,0.25,0.0092
2,0.255,0.011
2,0.26,0.0106
2,0.265,0.025
2,0.27,0.0148
2,0.275,0.0373
2,0.28,0.0144
2,0.285,0.0081
2,0.29,0.0229
2,0.295,0.0116
2,0.3,0.0256
2,0.305,0.0179
2,0.31,0.0331
2,0.315,0.0186
2,0.32,0.0125
2,0.325,0.0369
2,0.33,0.0234
2,0.335,0.0421
2,0.34,0.0236
2,0.345,0.032
2,0.35,0.027
2,0.355,0.0201
2,0.36,0.034
2,0.365,0.0286
2,0.37,0.0414
2,0.375,0.0237
2,0.38,0.1014
2,0.385,0.0146
2,0.39,0.0123
2,0.395,0.0163
2,0.4,0.0346
2,0.405,0.0086
2,0.41,0.0078
2,0.415,0.0062
2,0.42,0.0063
2,0.425,0.0026
2,0.43,0.004
2,0.435,0.0058
2,0.44,0.0017
2,0.445,0.0051
2,0.45,0.0009
2,0.455,0.0036
2,0.46,0.001
2,0.465,0.0027
2,0.47,0.0004
2,0.475,0.001
2,0.48,0.0002
2,0.485,0.0007
2,0.49,0.0002
3,0.18,0.0095
3,0.185,0.0013
3,0.19,0.0051
3,0.195,0.0029
3,0.2,0.0065
3,0.205,0.0034
3,0.21,0.007
3,0.215,0.0028
3,0.22,0.0045
3,0.225,0.0069
3,0.23,0.0087
3,0.235,0.0044
3,0.24,0.014
3,0.245,0.0067
3,0.25,0.0058
3,0.255,0.0089
3,0.26,0.0065
3,0.265,0.0207
3,0.27,0.0099
3,0.275,0.0291
3,0.28,0.0112
3,0.285,0.005
3,0.29,0.0198
3,0.295,0.0084
3,0.3,0.0218
3,0.305,0.0142
3,0.31,0.0289
3,0.315,0.0148
3,0.32,0.0112
3,0.325,0.0351
3,0.33,0.0213
3,0.335,0.0434
3,0.34,0.0295
3,0.345,0.0348
3,0.35,0.0277
3,0.355,0.0241
3,0.36,0.034
3,0.365,0.0393
3,0.37,0.0462
3,0.375,0.0315
3,0.38,0.1533
3,0.385,0.0208
3,0.39,0.0138
3,0.395,0.0157
3,0.4,0.0554
3,0.405,0.0085
3,0.41,0.0073
3,0.415,0.0077
3,0.42,0.0078
3,0.425,0.0029
3,0.43,0.0036
3,0.435,0.0073
3,0.44,0.0034
3,0.445,0.0072
3,0.45,0.0018
3,0.455,0.005
3,0.46,0.0009
3,0.465,0.005
3,0.47,0.0002
3,0.475,0.0026
3,0.48,0
3,0.485,0.0019
3,0.49,0.001
4,0.18,0.0047
4,0.185,0.0005
4,0.19,0.0023
4,0.195,0.001
4,0.2,0.0025
4,0.205,0.0014
4,0.21,0.0044
4,0.215,0.0013
4,0.22,0.0024
4,0.225,0.0029
4,0.23,0.0056
4,0.235,0.0031
4,0.24,0.0086
4,0.245,0.0043
4,0.25,0.0034
4,0.255,0.0056
4,0.26,0.0042
4,0.265,0.017
4,0.27,0.0073
4,0.275,0.0263
4,0.28,0.0094
4,0.285,0.0032
4,0.29,0.0155
4,0.295,0.0058
4,0.3,0.0182
4,0.305,0.0115
4,0.31,0.0238
4,0.315,0.0115
4,0.32,0.0098
4,0.325,0.0351
4,0.33,0.0184
4,0.335,0.0437
4,0.34,0.0272
4,0.345,0.027
4,0.35,0.0267
4,0.355,0.0285
4,0.36,0.0307
4,0.365,0.0413
4,0.37,0.0482
4,0.375,0.0325
4,0.38,0.2006
4,0.385,0.0214
4,0.39,0.0193
4,0.395,0.019
4,0.4,0.0799
4,0.405,0.0088
4,0.41,0.0073
4,0.415,0.0084
4,0.42,0.0078
4,0.425,0.0036
4,0.43,0.0043
4,0.435,0.0077
4,0.44,0.0032
4,0.445,0.0079
4,0.45,0.0018
4,0.455,0.0071
4,0.46,0.0012
4,0.465,0.0064
4,0.47,0.0005
4,0.475,0.0032
4,0.48,0.0002
4,0.485,0.0025
4,0.49,0.0012
5,0.18,0.0014
