default_mob,tenor,probability
-1,12,0.2235
-1,24,0.3244
-1,30,0.0241
-1,36,0.2049
-1,42,0.0085
-1,48,0.2146
3,12,0.075
3,24,0.2348
3,30,0.0204
3,36,0.266
3,42,0.0168
3,48,0.3869
4,12,0.075
4,24,0.2459
4,30,0.0267
4,36,0.2772
4,42,0.0134
4,48,0.3617
5,12,0.0836
5,24,0.2603
5,30,0.0255
5,36,0.2658
5,42,0.0158
5,48,0.3489
6,12,0.0938
6,24,0.2636
6,30,0.0269
6,36,0.2556
6,42,0.0121
6,48,0.3479
7,12,0.1006
7,24,0.283
7,30,0.0252
7,36,0.2655
7,42,0.0129
7,48,0.3128
8,12,0.111
8,24,0.3067
8,30,0.0254
8,36,0.2649
8,42,0.0144
8,48,0.2776
9,12,0.1222
9,24,0.2945
9,30,0.0267
9,36,0.2651
9,42,0.0119
9,48,0.2797
10,12,0.1269
10,24,0.2951
10,30,0.0273
10,36,0.2594
10,42,0.0119
10,48,0.2794
11,12,0.12
11,24,0.3072
11,30,0.026
11,36,0.2488
11,42,0.0109
11,48,0.2871
12,12,0.1186
12,24,0.3053
12,30,0.0404
12,36,0.2416
12,42,0.0126
12,48,0.2816
13,24,0.4625
13,30,0.027
13,36,0.247
13,42,0.0113
13,48,0.2522
14,24,0.4587
14,30,0.0363
14,36,0.2359
14,42,0.0156
14,48,0.2536
15,24,0.3577
15,30,0.0279
15,36,0.2916
15,42,0.0131
15,48,0.3097
16,24,0.3733
16,30,0.04
16,36,0.2792
16,42,0.0147
16,48,0.2928
17,24,0.3765
17,30,0.0361
17,36,0.2836
17,42,0.0098
17,48,0.294
18,24,0.3564
18,30,0.0381
18,36,0.2927
18,42,0.0145
18,48,0.2983
19,24,0.3811
19,30,0.0333
19,36,0.2644
19,42,0.0076
19,48,0.3136
20,24,0.3352
20,30,0.0338
20,36,0.3151
20,42,0.0185
20,48,0.2974
21,24,0.3495
21,30,0.0388
21,36,0.2922
21,42,0.0204
21,48,0.299
22,24,0.3652
22,30,0.0329
22,36,0.2654
22,42,0.0247
22,48,0.3117
23,24,0.3781
23,30,0.028
23,36,0.2824
23,42,0.014
23,48,0.2975
24,24,0.4049
24,30,0.0358
24,36,0.2631
24,42,0.0077
24,48,0.2886
25,30,0.4443
25,36,0.2751
25,42,0.0165
25,48,0.2641
26,30,0.4342
26,36,0.2837
26,42,0.011
26,48,0.2712
27,30,0.0901
27,36,0.4535
27,42,0.0282
27,48,0.4282
28,30,0.0616
28,36,0.4658
28,42,0.024
28,48,0.4486
29,30,0.0514
29,36,0.4281
29,42,0.0205
29,48,0.5
30,30,0.0512
30,36,0.4791
30,42,0.014
30,48,0.4558
31,36,0.5163
31,42,0.0196
31,48,0.4641
32,36,0.5486
32,42,0.0139
32,48,0.4375
33,36,0.5128
33,42,0.0171
33,48,0.4701
34,36,0.6429
34,48,0.3571
35,36,0.44
35,48,0.56
36,36,0.4706
36,48,0.5294
37,36,0.5
37,48,0.5
38,36,0.55
38,48,0.45
